,index,beds
283,"6,577 sqft",3
284,1.81 acres,3
285,0.95 acres,3
286,"4,399 sqft",3
287,"6,621 sqft",3
288,1.32 acres,3
289,3.76 acres,3
290,4.81 acres,3
291,1.49 acres,2
292,3.84 acres,2
293,2.73 acres,2
294,"3,615 sqft",2
295,27 beds,2
296,3.5 acres,2
297,"6,150 sqft",2
298,"7,039 sqft",2
299,1.98 acres,2
300,"8,494 sqft",2
301,2.22 acres,2
302,"4,486 sqft",2
303,"7,749 sqft",2
304,"7,139 sqft",2
305,"10,062 sqft",2
306,"8,141 sqft",2
307,"1,650 sqft",2
308,40 acres,2
309,"8,232 sqft",2
310,2.63 acres,2
311,"8,973 sqft",2
312,6.03 acres,2
313,"5,349 sqft",2
314,"7,187 sqft",2
315,44 beds,2
316,"3,650 sqft",2
317,"6,747 sqft",2
318,"9,626 sqft",2
319,40 beds,2
320,3.2 acres,2
321,"8,938 sqft",2
322,"6,481 sqft",2
323,"9,234 sqft",2
324,"5,749 sqft",2
325,1.68 acres,2
326,"9,408 sqft",2
327,19.75 acres,2
328,"4,922 sqft",2
329,"7,927 sqft",2
330,"7,949 sqft",2
331,5.45 acres,2
332,"8,498 sqft",2
333,"10,881 sqft",2
334,20 acres,2
335,"4,451 sqft",2
336,0.93 acres,2
337,"6,050 sqft",2
338,4.84 acres,2
339,2.12 acres,2
340,"6,838 sqft",2
341,"6,499 sqft",2
342,1.58 acres,2
343,"5,797 sqft",2
344,"2,614 sqft",2
345,"7,975 sqft",2
346,0.84 acres,2
347,"7,348 sqft",2
348,1.67 acres,2
349,9 acres,2
350,640 sqft,2
351,"4,251 sqft",2
352,"3,571 sqft",2
353,"7,701 sqft",2
354,"10,105 sqft",2
355,1.28 acres,2
356,1.62 acres,2
357,"7,614 sqft",2
358,"5,719 sqft",2
359,18 bd,2
360,"1,690 sqft",2
361,"7,849 sqft",2
362,"9,252 sqft",2
363,0.83 acres,2
364,"9,000 sqft",2
365,2.25 acres,2
366,"5,850 sqft",2
367,"7,853 sqft",2
368,"7,300 sqft",2
369,"9,661 sqft",2
370,"4,120 sqft",2
371,"4,443 sqft",2
372,"3,833 sqft",2
373,5.65 acres,2
374,"2,400 sqft",2
375,1.44 acres,2
376,42 beds,2
377,"7,618 sqft",2
378,2.37 acres,2
379,15.64 acres,2
380,"5,048 sqft",2
381,60 sqft,2
382,2.59 acres,2
383,"3,375 sqft",2
384,"5,702 sqft",2
385,2.16 acres,2
386,"10,650 sqft",2
387,"6,316 sqft",2
388,"7,562 sqft",2
389,"7,666 sqft",2
390,7.16 acres,2
391,"5,144 sqft",2
392,"5,924 sqft",2
393,"7,122 sqft",2
394,"8,637 sqft",2
395,"6,795 sqft",2
396,"10,301 sqft",2
397,1.23 acres,2
398,"6,381 sqft",2
399,1.76 acres,2
400,"8,250 sqft",2
401,2.95 acres,2
402,47 beds,2
403,"9,051 sqft",2
404,"4,739 sqft",2
405,1.94 acres,2
406,"10,236 sqft",2
407,"10,297 sqft",2
408,"10,846 sqft",2
409,0.98 acres,2
410,50 acres,2
411,1.22 acres,2
412,"5,500 sqft",2
413,"7,753 sqft",2
414,2.43 acres,2
415,"5,100 sqft",2
416,"9,670 sqft",2
417,"6,721 sqft",2
418,"7,126 sqft",2
419,2.31 acres,2
420,"6,002 sqft",2
421,1.19 acres,2
422,1.95 acres,2
423,"1,999 sqft",2
424,1.69 acres,2
425,"4,552 sqft",1
426,"9,208 sqft",1
427,14.75 acres,1
428,"8,407 sqft",1
429,3.62 acres,1
430,5.1 acres,1
431,"2,896 sqft",1
432,"4,305 sqft",1
433,2.39 acres,1
434,"7,056 sqft",1
435,"6,189 sqft",1
436,39 beds,1
437,"5,240 sqft",1
438,12.2 acres,1
439,10.43 acres,1
440,6.28 acres,1
441,9.97 acres,1
442,"4,477 sqft",1
443,"7,924 sqft",1
444,10.57 acres,1
445,12.08 acres,1
446,52 acres,1
447,"4,159 sqft",1
448,6.06 acres,1
449,"10,619 sqft",1
450,"3,528 sqft",1
451,100 sqft,1
452,"10,436 sqft",1
453,2.46 acres,1
454,9.06 acres,1
455,2.85 acres,1
456,"6,880 sqft",1
457,11.67 acres,1
458,"9,648 sqft",1
459,22.5 acres,1
460,"2,818 sqft",1
461,"6,188 sqft",1
462,"6,185 sqft",1
463,12 acres,1
464,"6,743 sqft",1
465,"2,652 sqft",1
466,"10,280 sqft",1
467,"9,435 sqft",1
468,"4,917 sqft",1
469,"4,920 sqft",1
470,5.3 acres,1
471,"5,397 sqft",1
472,7.29 acres,1
473,106 acres,1
474,"9,134 sqft",1
475,2.7 acres,1
476,"5,131 sqft",1
477,"7,043 sqft",1
478,"7,379 sqft",1
479,"9,831 sqft",1
480,"9,962 sqft",1
481,"6,939 sqft",1
482,"8,868 sqft",1
483,12.87 acres,1
484,"9,239 sqft",1
485,"2,757 sqft",1
486,"9,400 sqft",1
487,"5,876 sqft",1
488,"8,337 sqft",1
489,"8,805 sqft",1
490,"4,007 sqft",1
491,"7,004 sqft",1
492,4.89 acres,1
493,"5,736 sqft",1
494,3.75 acres,1
495,"7,048 sqft",1
496,3.15 acres,1
497,"10,393 sqft",1
498,"10,171 sqft",1
499,"1,188 sqft",1
500,"9,500 sqft",1
501,"2,570 sqft",1
502,14.42 acres,1
503,"1 bath, 3 or more bedrooms, cable tv available, dining room, eat-in kitchen, living room, range/oven, refrigerator",1
504,23.56 acres,1
505,"9,901 sqft",1
506,"3,994 sqft",1
507,22.72 acres,1
508,3.31 acres,1
509,"6,773 sqft",1
510,"4,665 sqft",1
511,448 sqft,1
512,11.2 acres,1
513,"3 or more bedrooms, dining room, living room, range/oven, refrigerator",1
514,2.23 acres,1
515,3.1 acres,1
516,3.77 acres,1
517,"2,922 sqft",1
518,1.34 acres,1
519,4.2 acres,1
520,4.71 acres,1
521,"4,660 sqft",1
522,8.06 acres,1
523,7.82 acres,1
524,1.36 acres,1
525,7.34 acres,1
526,4.73 acres,1
527,"9,452 sqft",1
528,1.84 acres,1
529,"7,862 sqft",1
530,6.24 acres,1
531,"8,585 sqft",1
532,"6,206 sqft",1
533,449 acres,1
534,10.2 acres,1
535,"4,125 sqft",1
536,2.99 acres,1
537,7.5 acres,1
538,3.59 acres,1
539,3.97 acres,1
540,8.55 acres,1
541,"7,457 sqft",1
542,21.21 acres,1
543,"6,390 sqft",1
544,1.82 acres,1
545,1.48 acres,1
546,"6,372 sqft",1
547,"3,789 sqft",1
548,"6,200 sqft",1
549,20.84 acres,1
550,76 beds,1
551,"9,212 sqft",1
552,"3,158 sqft",1
553,"10,367 sqft",1
554,"8,799 sqft",1
555,"10,118 sqft",1
556,"7,230 sqft",1
557,"6,182 sqft",1
558,5.5 acres,1
559,18.23 acres,1
560,"7,191 sqft",1
561,3.35 acres,1
562,"5,388 sqft",1
563,5.08 acres,1
564,2.88 acres,1
565,5.8 acres,1
566,"3,746 sqft",1
567,"9,910 sqft",1
568,4.97 acres,1
569,2.47 acres,1
570,"7,239 sqft",1
571,5.92 acres,1
572,"3,410 sqft",1
573,"6,760 sqft",1
574,"1 bath, 2 bedrooms, cable tv available, dining room, eat-in kitchen, living room",1
575,"7,683 sqft",1
576,"9,940 sqft",1
577,1.42 acres,1
578,"3,999 sqft",1
579,"2,252 sqft",1
580,"5,715 sqft",1
581,"5,841 sqft",1
582,3.64 acres,1
583,"7,396 sqft",1
584,"4,902 sqft",1
585,871 sqft,1
586,14.58 acres,1
587,"6,869 sqft",1
588,1-2 beds,1
589,"6,451 sqft",1
590,2.03 acres,1
591,8.25 acres,1
592,"4,029 sqft",1
593,1.47 acres,1
594,16.84 acres,1
595,"3,325 sqft",1
596,"4,926 sqft",1
597,4.68 acres,1
598,11.5 acres,1
599,"9,250 sqft",1
600,840 sqft,1
601,"6,102 sqft",1
602,"2,787 sqft",1
603,"10,223 sqft",1
604,11.7 acres,1
605,"9,827 sqft",1
606,6.65 acres,1
607,25.07 acres,1
608,"7,352 sqft",1
609,3.28 acres,1
610,"4,098 sqft",1
611,"10,023 sqft",1
612,"5,776 sqft",1
613,"3,768 sqft",1
614,23.72 acres,1
615,2.72 acres,1
616,"9,565 sqft",1
617,1.74 acres,1
618,"6,327 sqft",1
619,# bedrooms 1st floor,1
620,"4,347 sqft",1
621,"2,360 sqft",1
622,"7,183 sqft",1
623,"5,504 sqft",1
624,"9,613 sqft",1
625,"8,929 sqft",1
626,"7,536 sqft",1
627,"6,821 sqft",1
628,4.34 acres,1
629,7.8 acres,1
630,3.09 acres,1
631,70.37 acres,1
632,"8,820 sqft",1
633,88 beds,1
634,"2,038 sqft",1
635,"7,797 sqft",1
636,7 acres,1
637,"5,937 sqft",1
638,"10,585 sqft",1
639,13.18 acres,1
640,13.6 acres,1
641,"4,744 sqft",1
642,7.18 acres,1
643,3.22 acres,1
644,"9,875 sqft",1
645,"6,377 sqft",1
646,"10,358 sqft",1
647,"8,581 sqft",1
648,2.4 acres,1
649,"7,392 sqft",1
650,9.35 acres,1
651,13.61 acres,1
652,150 acres,1
653,"2 baths, 3 or more bedrooms",1
654,5.13 acres,1
655,52 beds,1
656,"5,183 sqft",1
657,"5,800 sqft",1
658,"10,402 sqft",1
659,"3,794 sqft",1
660,"1,498 sqft",1
661,5.59 acres,1
662,144 acres,1
663,2.9 acres,1
664,"7,679 sqft",1
665,2.75 acres,1
666,23.39 acres,1
667,"8,123 sqft",1
668,"10,855 sqft",1
669,6.79 acres,1
670,2.71 acres,1
671,"5,039 sqft",1
672,"1,825 sqft",1
673,"8,790 sqft",1
674,2.86 acres,1
675,"5,619 sqft",1
676,14.95 acres,1
677,4.45 acres,1
678,"3,968 sqft",1
679,"based on redfin's raleigh data, we estimate the home's value is $708,248, which is 1.2% more than its current list price.",1
680,"9,997 sqft",1
681,4.76 acres,1
682,"10,132 sqft",1
683,"7,078 sqft",1
684,22 acres,1
685,123.78 acres,1
686,5.36 acres,1
687,"3,320 sqft",1
688,6.6 acres,1
689,"8,886 sqft",1
690,6.15 acres,1
691,"5,566 sqft",1
692,"6,547 sqft",1
693,6.22 acres,1
694,"9,243 sqft",1
695,"5,079 sqft",1
696,"4,931 sqft",1
697,"5,549 sqft",1
698,"10,754 sqft",1
699,6.93 acres,1
700,12.97 acres,1
701,"9,273 sqft",1
702,"2,700 sqft",1
703,4.65 acres,1
704,3.23 acres,1
705,"1,385 sqft",1
706,"6,407 sqft",1
707,5.27 acres,1
708,"6,216 sqft",1
709,"10,689 sqft",1
710,"2,160 sqft",1
711,"3,641 sqft",1
712,10.32 acres,1
713,"6,720 sqft",1
714,1.35 acres,1
715,3.48 acres,1
716,3.25 acres,1
717,"9,378 sqft",1
718,1.91 acres,1
719,"6,172 sqft",1
720,"10,647 sqft",1
721,"8,838 sqft",1
722,"4,795 sqft",1
723,24.93 acres,1
724,"3,101 sqft",1
725,"10,323 sqft",1
726,"2,408 sqft",1
727,"7,570 sqft",1
728,"4,991 sqft",1
729,4.21 acres,1
730,1.78 acres,1
731,1.46 acres,1
732,8.98 acres,1
733,1.56 acres,1
734,"3,751 sqft",1
735,"4,975 sqft",1
736,100.17 acres,1
737,"9,504 sqft",1
738,"7,710 sqft",1
739,34.65 acres,1
740,3 or more bedrooms,1
741,"3,518 sqft",1
742,5.03 acres,1
743,"6,490 sqft",1
744,"7,261 sqft",1
745,1.39 acres,1
746,540 sqft,1
747,46 bd,1
748,"5,641 sqft",1
749,"1 bath, 2 bedrooms",1
750,"8,263 sqft",1
751,"9,448 sqft",1
752,1.54 acres,1
753,2.15 acres,1
754,"4,974 sqft",1
755,"6,825 sqft",1
756,"3,611 sqft",1
757,1.18 acres,1
758,10.47 acres,1
759,"6,011 sqft",1
760,"6,080 sqft",1
761,"5,122 sqft",1
762,4.59 acres,1
763,"7,409 sqft",1
764,4.43 acres,1
765,"3,841 sqft",1
766,"8,400 sqft",1
767,"8,132 sqft",1
768,2.02 acres,1
769,"9,169 sqft",1
770,"8,150 sqft",1
771,"5,266 sqft",1
772,"5,584 sqft",1
773,26 bd,1
774,9.3 acres,1
775,"5,052 sqft",1
776,"9,077 sqft",1
777,2.79 acres,1
778,"4,647 sqft",1
779,0.75 acres,1
780,"7,030 sqft",1
781,8.48 acres,1
782,"10,079 sqft",1
783,"1,960 sqft",1
784,"10,149 sqft",1
785,"10,031 sqft",1
786,"10,606 sqft",1
787,"2,962 sqft",1
788,"4,273 sqft",1
789,5.43 acres,1
790,"1,703 sqft",1
791,"6,847 sqft",1
792,"5,963 sqft",1
793,2.09 acres,1
794,"10,275 sqft",1
795,"5,976 sqft",1
796,"9,391 sqft",1
797,4 sqft,1
798,"9,552 sqft",1
799,10.7 acres,1
800,"6,237 sqft",1
801,"6,579 sqft",1
802,"7,021 sqft",1
803,"3,136 sqft",1
804,31.37 acres,1
805,"10,876 sqft",1
806,"3,672 sqft",1
807,"8,700 sqft",1
808,"5,118 sqft",1
809,"5,697 sqft",1
810,16 acres,1
811,"2,250 sqft",1
812,"8,755 sqft",1
813,"2,678 sqft",1
814,31 beds,1
815,"9,713 sqft",1
816,10.61 acres,1
817,23 bd,1
818,"8,908 sqft",1
819,1.57 acres,1
820,"7,128 sqft",1
821,"5,257 sqft",1
822,"8,947 sqft",1
823,"4,556 sqft",1
824,"8,389 sqft",1
825,"7,993 sqft",1
826,4.17 acres,1
827,"3,149 sqft",1
828,38 acres,1
829,5.09 acres,1
830,2.05 acres,1
831,"5,575 sqft",1
832,"9,465 sqft",1
833,4.52 acres,1
834,"9,526 sqft",1
835,"8,559 sqft",1
836,5.78 acres,1
837,"3,855 sqft",1
838,"8,180 sqft",1
839,"4,500 sqft",1
840,13 acres,1
841,5.17 acres,1
842,9.15 acres,1
843,"8,058 sqft",1
844,"8,807 sqft",1
845,2.93 acres,1
846,"6,529 sqft",1
847,"4,861 sqft",1
848,3.07 acres,1
849,"6,111 sqft",1
850,"2,265 sqft",1
851,"1 bath, 2 bedrooms, living room, range/oven, refrigerator",1
852,"10,511 sqft",1
853,9.34 acres,1
854,"6,708 sqft",1
855,"5,906 sqft",1
856,2.19 acres,1
857,"5,075 sqft",1
858,4.82 acres,1
859,11.09 acres,1
860,"4,525 sqft",1
861,"3,942 sqft",1
862,"7,662 sqft",1
863,"2,983 sqft",1
864,6.53 acres,1
865,2.51 acres,1
866,"9,369 sqft",1
867,9.12 acres,1
868,"2,861 sqft",1
869,"6,037 sqft",1
870,9.7 acres,1
871,"10,310 sqft",1
872,3.02 acres,1
873,6.31 acres,1
874,"2,200 sqft",1
875,8.43 acres,1
876,"1,502 sqft",1
877,"8,189 sqft",1
878,3.56 acres,1
879,9.93 acres,1
880,"4,948 sqft",1
881,"10,245 sqft",1
882,"6,268 sqft",1
883,63.05 acres,1
884,"6,777 sqft",1
885,1.72 acres,1
886,"5,745 sqft",1
887,"6,900 sqft",1
888,7.1 acres,1
889,14.53 acres,1
890,"4,522 sqft",1
891,"9,801 sqft",1
892,"5,532 sqft",1
893,1.7 acres,1
894,4.27 acres,1
895,6.18 acres,1
896,37 acres,1
897,"6,210 sqft",1
898,1.51 acres,1
899,20 bd,1
900,2.61 acres,1
901,3.58 acres,1
902,4.57 acres,1
903,"8,084 sqft",1
904,5.96 acres,1
905,2.33 acres,1
906,4.25 acres,1
907,"4,351 sqft",1
908,27 bd,1
909,"9,631 sqft",1
910,7.79 acres,1
911,15 bd,1
912,"3,876 sqft",1
913,"2,731 sqft",1
914,6.41 acres,1
915,4.18 acres,1
916,"9,702 sqft",1
917,"8,751 sqft",1
918,"2,718 sqft",1
919,2.18 acres,1
920,"6,856 sqft",1
921,"5,314 sqft",1
922,"1,745 sqft",1
923,19 bd,1
924,1.85 acres,1
925,"5,077 sqft",1
926,"5,833 sqft",1
927,"6,699 sqft",1
928,"5,174 sqft",1
929,"8,812 sqft",1
930,"6,991 sqft",1
931,"2,848 sqft",1
932,"2,960 sqft",1
933,5.14 acres,1
934,"8,563 sqft",1
935,"3,693 sqft",1
936,"5,793 sqft",1
937,2.48 acres,1
938,"6,996 sqft",1
939,"4,909 sqft",1
940,1.73 acres,1
941,"4,901 sqft",1
942,3.67 acres,1
943,11.55 acres,1
944,"2,025 sqft",1
945,2.32 acres,1
946,4.64 acres,1
947,4.49 acres,1
948,4.96 acres,1
949,58.9 acres,1
950,"9,099 sqft",1
951,"6,446 sqft",1
952,53 beds,1
953,"5,270 sqft",1
954,6.62 acres,1
955,"10,349 sqft",1
956,"6,006 sqft",1
957,16.57 acres,1
958,"7,082 sqft",1
959,"5,026 sqft",1
960,"8,890 sqft",1
961,"4,874 sqft",1
962,27.59 acres,1
963,"9,757 sqft",1
964,"9,291 sqft",1
965,"6,115 sqft",1
966,"3,310 sqft",1
967,"7,244 sqft",1
968,"6,673 sqft",1
969,1.66 acres,1
970,2.68 acres,1
971,2.58 acres,1
972,"5,243 sqft",1
973,"4,573 sqft",1
974,"4,830 sqft",1
975,"3,937 sqft",1
976,"4,403 sqft",1
977,5.64 acres,1
978,26.5 acres,1
979,16.21 acres,1
980,47.6 acres,1
981,"4,835 sqft",1
982,"6,952 sqft",1
983,"4,704 sqft",1
984,15.56 acres,1
985,"7,483 sqft",1
986,"9,038 sqft",1
987,"3,005 sqft",1
988,"7,204 sqft",1
989,"5,035 sqft",1
990,"3,800 sqft",1
991,7.58 acres,1
992,"7,248 sqft",1
993,4.74 acres,1
994,7.17 acres,1
995,6.66 acres,1
996,9.16 acres,1
997,"5,904 sqft",1
998,"5,941 sqft",1
999,"3,698 sqft",1
1000,"5,452 sqft",1
1001,8.2 acres,1
1002,"4,003 sqft",1
1003,"8,384 sqft",1
1004,"5,440 sqft",1
1005,17.57 acres,1
1006,"6,207 sqft",1
1007,30 beds,1
1008,"7,579 sqft",1
1009,"5,068 sqft",1
1010,9.63 acres,1
1011,"8,450 sqft",1
1012,"6,464 sqft",1
1013,12.57 acres,1
1014,"1 bath, 2 bedrooms, eat-in kitchen, living room, range/oven, refrigerator",1
1015,"7,361 sqft",1
1016,"3,009 sqft",1
1017,51 beds,1
1018,"6,908 sqft",1
1019,"8,485 sqft",1
1020,"7,470 sqft",1
1021,"4,094 sqft",1
1022,"5,588 sqft",1
1023,"5,127 sqft",1
1024,"7,278 sqft",1
1025,2.06 acres,1
1026,"1,568 sqft",1
1027,"6,651 sqft",1
1028,102 acres,1
1029,7.66 acres,1
1030,"8,298 sqft",1
1031,"10,715 sqft",1
1032,"9,461 sqft",1
1033,"5,340 sqft",1
1034,3.4 acres,1
1035,18.64 acres,1
1036,"9,025 sqft",1
1037,"2,439 sqft",1
1038,"4,534 sqft",1
1039,"9,321 sqft",1
1040,"2,443 sqft",1
1041,"10,598 sqft",1
1042,"7,875 sqft",1
1043,"3,120 sqft",1
1044,4.77 acres,1
1045,1.71 acres,1
1046,184 acres,1
1047,24.22 acres,1
1048,"10,641 sqft",1
1049,2.45 acres,1
1050,"8,372 sqft",1
1051,78 beds,1
1052,4.14 acres,1
1053,48 beds,1
1054,2.57 acres,1
1055,"3,175 sqft",1
1056,"8,502 sqft",1
1057,1.96 acres,1
1058,5.68 acres,1
1059,13.3 acres,1
1060,"9,086 sqft",1
1061,"8,942 sqft",1
1062,"5,336 sqft",1
1063,"6,299 sqft",1
1064,831 sqft,1
1065,15.41 acres,1
1066,2.01 acres,1
1067,"10,315 sqft",1
1068,"8,102 sqft",1
1069,"7,313 sqft",1
1070,"7,692 sqft",1
1071,10.4 acres,1
1072,248 sqft,1
1073,1.93 acres,1
1074,18.51 acres,1
1075,3.7 acres,1
1076,14 acres,1
1077,"2,000 sqft",1
1078,"5,654 sqft",1
1079,"9,365 sqft",1
1080,5.11 acres,1
1081,"1,210 sqft",1
1082,5.79 acres,1
1083,4.02 acres,1
1084,"6,917 sqft",1
1085,33 beds,1
1086,"9,375 sqft",1
1087,1.41 acres,1
1088,"9,888 sqft",1
1089,542 acres,1
1090,"5,523 sqft",1
1091,1.97 acres,1
1092,"8,341 sqft",1
1093,17 bd,1
1094,15 acres,1
1095,"7,980 sqft",1
1096,"1,524 sqft",1
1097,23.87 acres,1
1098,6.77 acres,1
1099,2.44 acres,1
1100,"3,225 sqft",1
1101,"9,443 sqft",1
1102,"5,488 sqft",1
1103,"7,104 sqft",1
1104,"based on redfin's st johns data, we estimate the home's value is $360,731, which is 2.2% less than its current list price.",1
1105,10.9 acres,1
1106,8.29 acres,1
1107,"4,599 sqft",1
1108,"3,354 sqft",1
1109,"2,522 sqft",1
1110,10.02 acres,1
1111,1.83 acres,1
1112,"3,519 sqft",1
1113,"6,285 sqft",1
1114,"3,598 sqft",1
1115,"10,076 sqft",1
1116,"6,725 sqft",1
1117,"7,841 sqft",1
1118,"8,023 sqft",1
1119,"10,193 sqft",1
1120,8.93 acres,1
1121,"5,510 sqft",1
1122,3.8 acres,1
1123,"8,479 sqft",1
