,index,sqft
337,"1,884",54
338,"1,798",54
339,"1,255",54
340,"1,934",54
341,"1,246",54
342,"1,729",54
343,"1,352",54
344,"1,576",54
345,"2,246",53
346,"1,904",53
347,"1,702",53
348,"1,647",53
349,"2,052",53
350,"3,600",53
351,"1,912",53
352,"1,712",53
353,"1,325",53
354,"1,685",53
355,"1,264",53
356,"1,529",53
357,"1,743",53
358,1350,53
359,"1,910",53
360,"1,472",53
361,"1,436",53
362,"1,458",53
363,"1,272",53
364,"1,174",53
365,"2,130",52
366,"1,830",52
367,"1,584",52
368,"1,612",52
369,"2,272",52
370,944,52
371,"2,492",52
372,"1,974",52
373,"2,152",52
374,"2,208",52
375,"1,144",52
376,"1,725",52
377,"1,465",52
378,"1,328",52
379,"1,002",52
380,"1,125",52
381,"1,876",52
382,"1,498",52
383,"1,972",52
384,"1,605",51
385,"1,724",51
386,"1,610",51
387,"1,922",51
388,"1,066",51
389,928,51
390,"1,448",51
391,"1,452",51
392,"2,028",51
393,"2,650",51
394,"1,268",51
395,"1,270",51
396,"1,378",51
397,"1,566",51
398,"1,557",51
399,"2,044",51
400,"1,318",51
401,"2,106",51
402,1260,51
403,1250,51
404,"1,326",51
405,"1,459",50
406,"1,648",50
407,"2,109",50
408,"1,096",50
409,1040,50
410,"1,244",50
411,"3,500",50
412,1920,50
413,996,50
414,696,50
415,"1,890",50
416,"1,012",50
417,"1,988",50
418,"1,656",50
419,"1,913",50
420,770,50
421,"2,304",50
422,"2,310",50
423,"2,232",50
424,"1,552",50
425,2600,50
426,904,50
427,"1,852",50
428,2500,50
429,"1,758",50
430,"1,708",50
431,"2,004",50
432,"1,225",50
433,"2,350",50
434,"1,627",50
435,"1,032",49
436,"1,856",49
437,828,49
438,"1,808",49
439,"1,418",49
440,"2,460",49
441,"1,276",49
442,"2,060",49
443,"1,896",49
444,938,49
445,"1,898",49
446,"1,604",49
447,"1,014",49
448,"1,524",49
449,"1,705",49
450,"1,572",49
451,"1,181",48
452,"2,852",48
453,"2,184",48
454,"2,324",48
455,"1,278",48
456,"1,390",48
457,1176,48
458,"1,208",48
459,"1,968",48
460,"2,408",48
461,"1,670",48
462,957,48
463,"1,846",48
464,"1,949",48
465,908,48
466,"1,304",48
467,"1,424",48
468,"1,655",48
469,"1,236",48
470,"2,630",48
471,986,48
472,"1,262",47
473,"1,916",47
474,"1,254",47
475,"1,925",47
476,"1,045",47
477,"2,312",47
478,"2,520",47
479,"1,818",47
480,"2,170",47
481,"2,210",47
482,"1,865",47
483,"1,645",47
484,"1,570",47
485,"1,928",47
486,"1,545",47
487,"2,280",47
488,"1,348",47
489,"1,302",47
490,791,47
